round,scenario_id,source_round,repetition,attempt,infrastructure_retry_count,task_id,target_class,success,status,completed_stage,error_code,message,last_operational_stage,last_operational_stage_name,preceding_navigation_failure,delivery_navigation_failure,cone_collision,collision_cones,direct_contact_cones,moved_or_tilted_cones,cone_monitor_status,contact_stream_status,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,move_base_goal_count,duration_seconds,started_at,round_dir,log_file,cone_monitor_file,stress_template_file,case_file,scene_measurement_file,navigation_parameter_file,adaptive_monitor_file,adaptive_monitor_status,adaptive_mode_event_count,adaptive_diagnostic_sample_count,adaptive_avoidance_entries,adaptive_avoidance_used,adaptive_avoidance_command_samples,adaptive_avoidance_failure_recovery_samples,adaptive_avoidance_infeasible_samples,adaptive_baseline_fallback_events,adaptive_baseline_fallback_samples,adaptive_baseline_infeasible_samples,adaptive_both_planners_infeasible_samples,adaptive_minimum_plan_clearance_m
1,channel_failure_round_004,4,1,1,0,fixed_cone_e2e_001_a01_1786963684,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/gazebo_world_state.log,8627996,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/gazebo_world_recording.json,39,260.237,2026-08-17T18:48:04+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_001/adaptive_teb_diagnostics.json,complete,40,137,4,True,23,0,0,0,0,0,0,0.169072
2,channel_failure_round_009,9,1,1,0,fixed_cone_e2e_002_a01_1786963953,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/gazebo_world_state.log,7098515,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/gazebo_world_recording.json,37,231.866,2026-08-17T18:52:33+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_002/adaptive_teb_diagnostics.json,complete,39,119,2,True,8,0,0,0,0,0,0,0.185531
3,channel_failure_round_016,16,1,1,0,fixed_cone_e2e_003_a01_1786964192,daily,False,task_failed,250,5,"laser sees a tight delivery corridor (reference clearance 0.304 m at s=0.745 m), but no channel waypoint reaches 0.160 m hard clearance; candidates=38 onward_rejected=0 onward_no_plan=0 no_plan=0 planned_clearance_rejected=1 sector_rejected=37 excluded_rejected=0 best_plan=[clearance=0.116,forward=0.70,lateral=-0.66,bottleneck_s=0.385,start=0.363,recovery=0.116] best_onward=[none]",16,NAVIGATE_TO_DELIVERY,False,True,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/gazebo_world_state.log,5705516,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/gazebo_world_recording.json,38,215.119,2026-08-17T18:56:32+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_003/adaptive_teb_diagnostics.json,complete,43,95,5,True,13,0,0,0,0,0,0,0.00109118
4,channel_failure_round_021,21,1,1,0,fixed_cone_e2e_004_a01_1786964415,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/gazebo_world_state.log,7528183,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/gazebo_world_recording.json,37,224.319,2026-08-17T19:00:15+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_004/adaptive_teb_diagnostics.json,complete,38,114,4,True,19,0,0,0,0,0,0,0.171474
5,channel_failure_round_022,22,1,1,0,fixed_cone_e2e_005_a01_1786964645,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/gazebo_world_state.log,9116565,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/gazebo_world_recording.json,39,251.326,2026-08-17T19:04:05+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_005/adaptive_teb_diagnostics.json,complete,42,133,6,True,33,0,0,0,0,0,0,0.17544
6,channel_failure_round_024,24,1,1,0,fixed_cone_e2e_006_a01_1786964903,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/gazebo_world_state.log,9321641,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/gazebo_world_recording.json,40,259.317,2026-08-17T19:08:23+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_006/adaptive_teb_diagnostics.json,complete,42,125,7,True,33,0,0,0,0,1,0,0.193832
7,channel_failure_round_033,33,1,1,0,fixed_cone_e2e_007_a01_1786965170,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/gazebo_world_state.log,9405741,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/gazebo_world_recording.json,39,257.048,2026-08-17T19:12:50+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_007/adaptive_teb_diagnostics.json,complete,42,146,4,True,23,0,0,0,0,0,0,0.160425
8,channel_failure_round_004,4,2,1,0,fixed_cone_e2e_008_a01_1786965436,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/gazebo_world_state.log,7021239,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/gazebo_world_recording.json,40,231.057,2026-08-17T19:17:16+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_008/adaptive_teb_diagnostics.json,complete,43,104,6,True,16,0,0,0,0,0,0,0.185457
9,channel_failure_round_009,9,2,1,0,fixed_cone_e2e_009_a01_1786965674,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/gazebo_world_state.log,7554887,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/gazebo_world_recording.json,37,230.884,2026-08-17T19:21:14+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_009/adaptive_teb_diagnostics.json,complete,38,124,3,True,11,0,0,0,0,0,0,0.167132
10,channel_failure_round_016,16,2,1,0,fixed_cone_e2e_010_a01_1786965913,daily,False,task_failed,250,7,navigating to requested pose failed: move_base made no measurable progress,16,NAVIGATE_TO_DELIVERY,False,True,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/gazebo_world_state.log,10018736,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/gazebo_world_recording.json,40,267.991,2026-08-17T19:25:13+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_184804_avoidfp_0p12_hardclear_0p16_fan89/round_010/adaptive_teb_diagnostics.json,complete,43,150,6,True,21,0,0,0,0,0,0,0.165394
